DIMENSION:10639,
59766.6667,21366.6667
59816.6667,22966.6667
59816.6667,23066.6667
59833.3333,21616.6667
59833.3333,22950
59833.3333,23083.3333
59833.3333,23200
59850,22433.3333
59866.6667,22450
59866.6667,22483.3333
59866.6667,22500
59866.6667,23400
59883.3333,22516.6667
59883.3333,23100
59883.3333,23400
59883.3333,23700
59900,23116.6667
59900,23250
59900,23300
59900,23350
59900,23450
59900,23483.3333
59916.6667,20900
59916.6667,20916.6667
59916.6667,21883.3333
59916.6667,22416.6667
59916.6667,23033.3333
59916.6667,23166.6667
59916.6667,23383.3333
59916.6667,23516.6667
59933.3333,20883.3333
59933.3333,20900
59933.3333,20966.6667
59933.3333,20983.3333
59933.3333,22400
59933.3333,22900
59933.3333,22983.3333
59933.3333,23150
59933.3333,23233.3333
59933.3333,23300
59933.3333,23366.6667
59933.3333,23550
59933.3333,23600
59933.3333,23700
59933.3333,23716.6667
59933.3333,23766.6667
59950,20883.3333
59950,20950
59950,21000
59950,21766.6667
59950,22366.6667
59950,22716.6667
59950,22866.6667
59950,22966.6667
59950,23050
59950,23383.3333
59950,23416.6667
59950,23466.6667
59950,23500
59950,23650
59950,23950
59966.6667,22433.3333
59966.6667,22533.3333
59966.6667,22616.6667
59966.6667,22900
59966.6667,22916.6667
59966.6667,22950
59966.6667,22983.3333
59966.6667,23166.6667
59966.6667,23233.3333
59966.6667,23433.3333
59966.6667,23700
59966.6667,23866.6667
59966.6667,23883.3333
59983.3333,21300
59983.3333,22816.6667
59983.3333,22833.3333
59983.3333,23033.3333
59983.3333,23133.3333
59983.3333,23200
59983.3333,23266.6667
59983.3333,23300
59983.3333,23400
59983.3333,23416.6667
59983.3333,23483.3333
59983.3333,23566.6667
59983.3333,23616.6667
59983.3333,23650
59983.3333,23750
59983.3333,23783.3333
59983.3333,23883.3333
59983.3333,23900
59988.3333,24442.2222
59994.7222,24474.1667
60000,20316.6667
60000,20366.6667
60000,20383.3333
60000,20416.6667
60000,22550
60000,23033.3333
60000,23050
60000,23066.6667
60000,23100
60000,23150
60000,23166.6667
60000,23233.3333
60000,23333.3333
60000,23416.6667
60000,23566.6667
60000,23650
60000,24450
60010,24478.6111
60016.6667,20333.3333
60016.6667,20416.6667
60016.6667,21116.6667
60016.6667,22400
60016.6667,22666.6667
60016.6667,22833.3333
60016.6667,22883.3333
60016.6667,23083.3333
60016.6667,23166.6667
60016.6667,23200
60016.6667,23300
60016.6667,23333.3333
60016.6667,23450
60016.6667,23616.6667
60016.6667,23700
60016.6667,23816.6667
60016.6667,23933.3333
60016.6667,24483.3333
60016.6667,24516.6667
60016.9444,20131.6667
60019.7222,24461.6667
60033.3333,20166.6667
60033.3333,20383.3333
60033.3333,20516.6667
60033.3333,20566.6667
60033.3333,20583.3333
60033.3333,20833.3333
60033.3333,22433.3333
60033.3333,22516.6667
60033.3333,22600
60033.3333,22683.3333
60033.3333,22700
60033.3333,22866.6667
60033.3333,22966.6667
60033.3333,23066.6667
60033.3333,23116.6667
60033.3333,23216.6667
60033.3333,23300
60033.3333,23333.3333
60033.3333,23383.3333
60033.3333,23433.3333
60033.3333,23533.3333
60033.3333,23683.3333
60033.3333,23833.3333
60033.3333,24000
60033.3333,24116.6667
60033.3333,24350
60033.3333,24416.6667
60033.3333,24516.6667
60036.3889,24054.7222
60036.9444,24384.4444
60038.3333,24485.2778
60047.5,24444.7222
60048.3333,24032.5
60050,19983.3333
60050,20183.3333
60050,20450
60050,20483.3333
60050,20550
60050,20566.6667
60050,21800
60050,22466.6667
60050,22616.6667
60050,22683.3333
60050,22716.6667
60050,22900
60050,23083.3333
60050,23166.6667
60050,23216.6667
60050,23400
60050,23650
60050,23716.6667
60050,23850
60050,23966.6667
60050,23983.3333
60050,24016.6667
60050,24050
60050,24066.6667
60050,24366.6667
60050,24450
