DIMENSION:14473,
15633.3333,88300
14033.3333,88383.3333
14183.3333,86800
14116.6667,86683.3333
14516.6667,87216.6667
14283.3333,87033.3333
14066.6667,87150
14516.6667,87200
14483.3333,87100
14266.6667,86883.3333
14250,86883.3333
14083.3333,86733.3333
14566.6667,88883.3333
14000,87150
13516.6667,87466.6667
14816.6667,87450
15016.6667,88900
13616.6667,87050
15050,88250
14083.3333,88266.6667
14850,88350
14600,86266.6667
14700,88550
14483.3333,88766.6667
13966.6667,87383.3333
13966.6667,87300
13683.3333,86800
13550,86900
15266.6667,87950
13200,86983.3333
14000,87150
13716.6667,86866.6667
13583.3333,87216.6667
13050,86983.3333
14883.3333,88800
14683.3333,88100
13316.6667,86850
13733.3333,87566.6667
14466.6667,87316.6667
14083.3333,87900
14233.3333,87166.6667
14083.3333,88650
14483.3333,87100
14366.6667,87083.3333
14550,88433.3333
14966.6667,87433.3333
14550,88433.3333
14383.3333,86750
14316.6667,88916.6667
14283.3333,86966.6667
14100,86433.3333
14050,86616.6667
13950,87400
13800,87550
13700,86816.6667
13450,86850
14966.6667,87100
13783.3333,87550
15850,87800
13750,87666.6667
15133.3333,86533.3333
15016.6667,88950
14950,88200
14283.3333,88033.3333
14033.3333,86366.6667
14016.6667,86616.6667
13633.3333,87083.3333
13383.3333,87016.6667
13333.3333,87133.3333
14666.6667,88700
15516.6667,86600
14900,88816.6667
14666.6667,88700
15000,88233.3333
15866.6667,86033.3333
15800,86550
15616.6667,87416.6667
15533.3333,86050
15016.6667,87850
15016.6667,87483.3333
14966.6667,89133.3333
14966.6667,87350
14800,88783.3333
14800,87416.6667
14700,88483.3333
14683.3333,88583.3333
14666.6667,88950
14600,88833.3333
14600,87900
14566.6667,87116.6667
14466.6667,87116.6667
14450,87950
14300,88500
14250,87050
14100,88766.6667
15150,88416.6667
13633.3333,87000
15400,88100
15516.6667,88050
15816.6667,85166.6667
15716.6667,86533.3333
15083.3333,88366.6667
14066.6667,88450
13666.6667,87050
13200,87050
15766.6667,87883.3333
13400,86966.6667
13400,86966.6667
15216.6667,87333.3333
14316.6667,88683.3333
14066.6667,86366.6667
14016.6667,87033.3333
15633.3333,86066.6667
15766.6667,87266.6667
15866.6667,85116.6667
15116.6667,88650
14266.6667,87400
15816.6667,86683.3333
15816.6667,86683.3333
15866.6667,85116.6667
15866.6667,85116.6667
16000,85050
14116.6667,87916.6667
15116.6667,86400
14066.6667,87833.3333
13833.3333,87400
15300,86183.3333
14400,86100
13550,86933.3333
15283.3333,87766.6667
14000,87933.3333
14000,87933.3333
14066.6667,88050
14066.6667,87416.6667
14266.6667,88216.6667
14116.6667,88183.3333
14066.6667,88050
15750,86983.3333
14766.6667,88550
14750,87566.6667
14066.6667,87933.3333
14783.3333,89016.6667
14716.6667,88983.3333
14600,88233.3333
14350,88283.3333
14000,87033.3333
14750,88116.6667
14116.6667,88183.3333
13750,87233.3333
13300,87116.6667
14366.6667,89033.3333
13933.3333,86850
14633.3333,88466.6667
14850,87900
13766.6667,87283.3333
14100,88650
14850,86750
13983.3333,87700
14450,88616.6667
14850,88250
14816.6667,88583.3333
14816.6667,88566.6667
13633.3333,87000
13450,87166.6667
14800,87133.3333
14116.6667,88533.3333
13933.3333,87300
15700,86000
14116.6667,88533.3333
14783.3333,86966.6667
15133.3333,87133.3333
14750,88350
14116.6667,88566.6667
15066.6667,87283.3333
14116.6667,88566.6667
14800,87133.3333
14983.3333,83916.6667
13100,87100
14166.6667,88366.6667
14200,88816.6667
14300,88733.3333
14200,88816.6667
13933.3333,87150
14800,87133.3333
15016.6667,86700
15650,86450
14883.3333,86800
13950,87100
13950,86883.3333
13733.3333,87066.6667
14616.6667,88800
14700,84733.3333
15066.6667,83300
14766.6667,88816.6667
14766.6667,88816.6667
14333.3333,87633.3333
14116.6667,88083.3333
14883.3333,88816.6667
14533.3333,88816.6667
15600,86666.6667
15600,86666.6667
13733.3333,87566.6667
14900,88783.3333
14533.3333,88850
14183.3333,88466.6667
14733.3333,85783.3333
13633.3333,86966.6667
14200,87566.6667
13683.3333,87083.3333
14266.6667,87700
14283.3333,88250
15266.6667,83433.3333
15016.6667,88433.3333
14266.6667,86983.3333
14250,86683.3333
14266.6667,86983.3333
13700,87016.6667
15416.6667,83800
15416.6667,83800
15416.6667,83800
15316.6667,86766.6667
14716.6667,86816.6667
15316.6667,86766.6667
14666.6667,88800
14016.6667,87216.6667
14933.3333,83833.3333
15183.3333,84633.3333
14750,84983.3333
15050,87200
14666.6667,84383.3333
16433.3333,85950
16266.6667,86650
14616.6667,84716.6667
15483.3333,84466.6667
15416.6667,84433.3333
15183.3333,84133.3333
16300,86566.6667
16300,86566.6667
14616.6667,84433.3333
14616.6667,84433.3333
14616.6667,84433.3333
14616.6667,84433.3333
15333.3333,84216.6667
14966.6667,85000
15000,84983.3333
15016.6667,83283.3333
15183.3333,84616.6667
15000,85033.3333
15216.6667,83400
15216.6667,83400
15183.3333,84633.3333
15266.6667,83850
15433.3333,84400
15350,86650
14166.6667,87866.6667
15950,85766.6667
13183.3333,87133.3333
13816.6667,86516.6667
14333.3333,88650
14416.6667,89100
13933.3333,88300
13483.3333,87633.3333
14333.3333,88650
14900,88733.3333
14900,88733.3333
14050,88700
14983.3333,89050
14016.6667,88566.6667
14016.6667,88566.6667
13816.6667,87300
14650,86700
